beneficiary_id,age,last_transaction_days,monthly_amount,transaction_frequency,aadhaar_verified,bank_account_reuse_count,death_record_match,location_mismatch,fraud_label
B00172,52,21,4472,2,1,1,0,0,0
B00173,30,21,4776,3,1,1,0,0,0
B00174,47,4,3058,4,1,1,0,0,0
B00175,61,24,1054,3,1,1,0,0,0
B00176,43,288,1750,4,1,1,0,0,1
B00177,48,21,1153,2,1,1,0,0,0
B00178,70,25,2639,2,1,1,0,0,0
B00179,71,6,2458,2,1,1,0,0,0
B00180,36,10,4004,1,1,1,0,0,0
B00181,35,8,1215,3,1,1,0,0,0
B00182,75,25,1709,4,1,1,0,0,0
B00183,68,15,4948,2,0,1,0,0,0
B00184,86,21,4853,3,1,1,0,0,0
B00185,57,20,4294,2,1,1,0,0,0
B00186,76,24,4597,3,1,5,0,0,1
B00187,67,23,4033,3,0,1,0,0,0
B00188,72,16,3769,1,1,1,0,0,0
B00189,62,27,4241,2,1,1,0,0,0
B00190,82,14,2914,3,1,1,0,0,0
B00191,71,24,1696,4,1,1,0,0,0
B00192,26,1,1339,1,1,4,0,0,1
B00193,98,14,1704,5,0,1,1,0,1
B00194,84,6,1938,4,1,1,0,0,0
B00195,72,7,3273,1,1,1,0,0,0
B00196,98,10,4564,2,0,1,0,0,0
B00197,22,5,2911,2,0,1,0,0,0
B00198,82,17,2043,2,1,1,0,0,0
B00199,76,3,3263,3,1,1,0,0,0
B00200,68,5,1579,2,0,1,0,0,0
B00201,48,2,2218,1,1,1,0,0,0
B00202,64,2,2418,3,1,1,0,0,0
B00203,44,18,2199,2,0,1,0,0,0
B00204,64,18,1972,1,1,1,0,0,0
B00205,62,2,2591,4,1,1,0,0,0
B00206,78,28,3383,4,1,1,0,0,0
B00207,70,21,3604,1,1,1,0,0,0
B00208,66,13,3180,3,1,4,0,0,1
B00209,66,4,4998,2,1,1,0,0,0
B00210,41,14,2247,1,1,1,0,0,0
B00211,41,337,1699,4,1,1,0,0,1
B00212,28,28,2247,2,1,1,0,0,0
B00213,43,4,3963,4,0,1,0,0,0
B00214,76,1,4977,2,0,4,0,0,1
B00215,94,4,1284,4,1,1,0,0,0
B00216,50,15,4104,2,1,1,0,0,0
B00217,81,29,2453,5,1,1,1,0,1
B00218,70,2,3931,4,1,1,0,0,0
B00219,42,12,3896,2,0,1,0,0,0
B00220,84,19,1083,2,1,1,0,0,0
B00221,65,29,4598,2,1,1,0,0,0
B00222,77,16,2294,4,1,1,0,0,0
B00223,47,14,1590,3,0,1,0,0,1
B00224,86,15,3963,3,1,1,1,0,1
B00225,41,11,2367,4,0,1,0,0,1
B00226,37,6,2389,3,1,1,0,0,0
B00227,86,11,4496,3,1,1,1,0,1
B00228,74,22,1591,2,1,1,0,0,0
B00229,77,2,3043,1,1,1,0,0,0
B00230,32,22,3163,2,1,1,0,0,0
B00231,57,240,1142,2,1,1,0,0,1
B00232,65,9,3056,2,0,1,0,0,0
B00233,67,28,4911,2,1,1,0,0,0
B00234,66,16,1458,4,1,1,0,0,0
B00235,62,28,4198,8,1,1,0,0,1
B00236,72,19,2266,2,1,1,0,0,0
B00237,58,6,4883,2,1,1,0,0,0
B00238,88,28,2082,3,1,1,0,0,0
B00239,34,12,1352,3,1,1,0,0,0
B00240,79,28,3852,4,1,1,0,0,0
B00241,36,9,3994,4,1,1,0,0,0
B00242,61,4,3382,2,1,1,0,0,0
B00243,71,18,4714,1,1,1,0,0,0
B00244,47,23,3147,4,1,1,0,0,0
B00245,64,13,3884,2,0,1,0,0,1
B00246,66,2,3008,4,0,1,0,0,0
B00247,41,5,4234,1,1,1,0,0,0
B00248,52,11,3966,3,1,1,0,0,0
B00249,49,9,3891,2,1,1,0,0,0
B00250,60,22,3360,4,0,1,0,0,1
B00251,51,17,3212,1,1,1,0,0,0
B00252,85,29,1619,3,0,1,0,0,0
B00253,44,29,2043,2,1,1,0,0,0
B00254,44,19,2184,1,0,1,0,0,1
B00255,70,25,1125,2,1,1,0,0,0
B00256,74,23,3474,2,0,1,0,0,1
B00257,57,23,3793,4,1,1,0,0,0
B00258,65,22,1516,3,1,1,0,0,0
B00259,90,18,2993,2,1,1,0,0,0
B00260,96,8,1587,3,1,1,0,0,0
B00261,75,16,2677,7,1,1,0,0,1
B00262,85,1,1574,1,1,1,0,0,0
B00263,72,11,4230,1,1,1,0,0,0
B00264,45,2,1018,2,1,1,0,0,0
B00265,70,22,4712,4,1,1,0,0,0
B00266,66,19,3190,1,1,1,0,0,0
B00267,56,6,3338,4,0,1,0,0,0
B00268,69,9,1961,2,1,1,0,0,0
B00269,65,29,2947,1,1,1,0,0,0
B00270,44,4,4022,4,1,1,0,0,0
B00271,77,11,3411,3,0,1,0,0,0
B00272,34,15,4188,4,1,1,0,0,0
B00273,32,2,1469,3,1,1,0,0,0
B00274,73,15,4610,1,1,1,0,0,0
B00275,37,186,1001,1,1,1,0,0,1
B00276,69,7,2062,1,1,1,0,0,0
B00277,43,22,2107,4,1,1,0,0,0
B00278,29,13,3606,3,1,1,0,0,0
B00279,88,15,4097,1,1,1,0,0,0
B00280,67,17,3199,4,1,1,0,0,0
B00281,58,7,4683,7,1,1,0,0,1
B00282,77,17,1580,3,1,1,0,0,0
B00283,56,5,1661,4,1,1,0,0,0
B00284,69,13,1968,2,1,1,0,0,0
B00285,82,18,1262,1,1,1,0,0,0
B00286,76,24,3506,3,1,4,0,0,1
B00287,66,4,3668,2,0,1,0,0,0
B00288,76,6,2376,3,1,1,1,0,1
B00289,27,18,4301,4,1,1,0,0,0
B00290,65,12,2153,3,1,1,0,0,0
B00291,79,12,4335,2,0,1,0,0,0
B00292,74,16,2016,3,1,1,0,0,0
B00293,71,12,1656,4,1,1,0,0,0
B00294,58,5,4175,2,1,1,0,0,0
B00295,59,8,3453,7,1,1,0,0,1
B00296,53,23,4875,1,1,1,0,0,0
B00297,28,3,3496,3,1,1,0,0,0
B00298,65,11,2442,2,1,1,0,0,0
B00299,51,10,4310,1,1,1,0,0,0
B00300,69,6,2693,2,1,1,0,0,0
B00301,74,2,2428,3,1,1,0,0,0
B00302,97,25,4839,2,1,1,0,0,0
B00303,53,16,3880,2,1,1,0,0,0
B00304,68,13,3949,1,1,3,0,0,1
B00305,52,28,2979,4,1,1,0,0,0
B00306,65,11,3719,1,1,1,0,0,0
B00307,58,357,2540,3,1,1,0,0,1
B00308,34,19,1456,7,1,1,0,0,1
B00309,46,28,4151,4,1,1,0,0,0
B00310,44,20,2382,4,1,1,0,0,0
B00311,77,20,4134,1,1,1,0,0,0
B00312,53,29,3502,1,1,4,0,0,1
B00313,65,10,4662,1,1,1,0,0,0
B00314,72,18,3260,2,1,1,0,0,0
B00315,23,17,1464,3,1,1,0,0,0
B00316,63,16,1545,4,1,1,0,0,0
B00317,59,10,2948,2,1,1,0,0,0
B00318,96,9,4191,1,1,1,0,0,0
B00319,49,28,1241,2,1,1,0,0,0
B00320,67,17,3773,4,0,1,0,0,1
B00321,51,308,3496,3,0,1,0,0,1
B00322,22,5,3711,1,1,1,0,0,0
B00323,63,15,2674,4,1,1,0,0,0
B00324,44,22,1772,2,1,1,0,0,0
B00325,35,8,4291,1,1,1,0,0,0
B00326,57,4,1962,1,1,1,0,0,0
B00327,77,4,2801,1,1,1,0,0,0
B00328,82,28,2311,4,1,1,1,0,1
B00329,47,28,2850,2,1,1,0,0,0
B00330,59,19,2748,4,1,1,0,0,0
B00331,46,9,3544,4,1,1,0,0,0
B00332,47,14,1301,4,1,1,0,0,0
B00333,50,28,2368,2,0,1,0,0,0
B00334,54,18,3483,3,1,1,0,0,0
B00335,72,5,3325,3,1,1,0,0,0
B00336,58,7,1022,1,1,1,0,0,0
B00337,67,16,1361,2,1,1,0,0,0
B00338,83,10,4175,3,1,1,0,0,0
B00339,73,27,3278,3,1,1,0,0,0
B00340,63,26,3645,2,1,1,0,0,0
B00341,21,280,4508,1,1,1,0,0,1
B00342,54,20,2404,4,1,1,0,0,0
B00343,45,8,2492,9,1,1,0,0,1
B00344,79,7,3320,3,1,1,0,0,0
B00345,35,20,3745,3,1,1,0,0,0
B00346,77,28,2938,3,1,1,0,0,0
B00347,32,26,2099,2,1,1,0,0,0
B00348,75,23,4756,4,1,1,0,0,0
B00349,56,27,3810,4,1,1,0,0,0
B00350,40,4,3448,2,1,1,0,0,0
B00351,74,11,3125,4,1,1,0,0,0
B00352,59,18,2596,2,1,1,0,0,0
B00353,72,27,3757,1,1,1,0,0,0
B00354,53,5,1921,3,1,1,0,0,0
B00355,69,4,1703,1,1,5,0,0,1
B00356,94,22,2861,3,1,1,1,0,1
B00357,91,22,1617,2,1,1,0,0,0
B00358,89,22,4919,4,1,1,0,0,0
B00359,48,24,2836,4,0,1,0,0,0
B00360,63,27,1689,1,1,1,0,0,0
B00361,30,15,2171,4,1,1,0,0,0
B00362,73,26,2336,1,1,3,0,0,1
B00363,78,21,1370,1,1,1,0,0,0
B00364,57,10,1628,4,0,1,0,0,0
B00365,61,11,3075,2,0,1,0,0,0
B00366,65,2,2517,2,1,1,0,0,0
B00367,95,10,2080,2,1,1,0,0,0
B00368,71,8,1343,3,1,1,0,0,0
B00369,98,7,2854,1,1,1,0,0,0
B00370,79,24,3261,3,1,1,0,0,0
B00371,53,9,4994,1,1,1,0,0,0
B00372,61,3,4992,4,1,1,0,0,0
B00373,65,23,3726,4,1,1,0,0,0
B00374,78,12,1778,4,1,1,0,0,0
B00375,63,8,1484,1,1,1,0,0,0
B00376,87,28,2233,2,1,1,0,0,0
B00377,42,27,3924,3,1,1,0,0,0
B00378,40,8,2014,4,1,1,0,0,0
B00379,43,14,4037,2,0,1,0,0,0
B00380,73,1,4958,4,1,1,0,0,0
B00381,72,28,4233,4,1,1,0,0,0
B00382,44,1,2560,3,0,1,0,0,0
B00383,44,28,1226,1,1,1,0,0,0
B00384,78,25,4643,4,1,1,0,0,0
B00385,61,12,1981,3,1,1,0,0,0
B00386,60,20,1980,3,1,1,0,0,0
B00387,50,16,4000,3,1,1,0,0,0
B00388,74,1,4930,3,1,1,0,0,0
B00389,47,15,3295,4,1,1,0,0,0
B00390,47,3,4830,3,1,1,0,0,0
B00391,42,21,2336,1,1,1,0,0,0
B00392,86,28,1392,3,1,1,0,0,0
B00393,81,6,3935,2,1,1,0,0,0
B00394,58,14,2565,3,1,4,0,0,1
B00395,55,19,1082,2,1,1,0,0,0
B00396,72,9,4398,2,1,1,0,0,0
B00397,54,24,4059,2,1,1,0,0,0
B00398,28,24,3367,1,1,1,0,0,0
B00399,28,9,3381,2,0,1,0,0,0
B00400,88,22,4708,2,1,1,0,0,0
B00401,36,12,3479,2,1,1,0,0,0
B00402,84,5,2327,4,0,1,0,0,1
B00403,68,17,2347,3,0,1,0,0,0
B00404,34,22,2447,4,1,1,0,0,0
B00405,79,8,3652,2,1,1,0,0,0
B00406,78,7,1131,3,1,1,0,0,0
B00407,62,2,3901,4,1,1,0,0,0
B00408,87,6,2110,2,0,1,0,0,1
B00409,67,10,2490,4,1,1,0,0,0
B00410,67,16,1141,3,1,1,0,0,0
B00411,65,17,3096,6,1,1,0,0,1
B00412,56,10,1703,2,1,1,0,0,0
B00413,44,17,1816,1,1,1,0,0,0
B00414,68,11,2574,1,0,1,0,0,0
B00415,92,12,1000,4,1,1,0,0,0
B00416,72,16,4339,1,1,1,0,0,0
B00417,84,27,1519,1,0,1,0,0,0
B00418,76,18,2710,4,1,1,0,0,0
B00419,63,19,1593,1,1,1,0,0,0
B00420,91,15,4449,3,1,1,0,0,0
B00421,69,11,3497,3,1,1,0,0,0
B00422,48,28,4448,3,1,1,0,0,0
B00423,65,8,1386,4,1,1,0,0,0
B00424,70,13,2856,3,1,1,0,0,0
B00425,65,22,2819,1,1,1,0,0,0
B00426,28,28,3021,2,1,1,0,0,0
B00427,71,23,3894,1,1,1,0,0,0
B00428,43,24,2403,1,1,1,0,0,0
B00429,63,1,3468,4,1,1,0,0,0
B00430,37,11,3011,3,1,1,0,0,0
B00431,76,5,2829,4,1,1,0,0,0
B00432,65,4,1832,3,1,1,0,0,0
B00433,42,4,3122,1,0,1,0,0,0
B00434,89,6,4634,2,1,1,0,0,0
B00435,44,5,3169,1,1,1,0,0,0
B00436,83,9,1785,4,1,1,0,0,0
B00437,99,16,2936,1,1,1,0,0,0
B00438,72,22,3721,1,1,1,0,0,0
B00439,41,19,2439,1,1,1,0,0,0
B00440,71,4,1138,3,1,1,0,0,0
B00441,42,2,1908,3,1,1,0,0,0
B00442,97,25,3151,2,1,1,0,0,0
B00443,67,17,2307,1,1,1,0,0,0
B00444,41,399,1266,2,1,1,0,0,1
B00445,39,333,2960,2,1,1,0,0,1
B00446,91,6,3867,4,1,1,0,0,0
B00447,40,15,2239,3,1,1,0,0,0
B00448,56,14,2714,1,1,1,0,0,0
B00449,74,13,3819,3,1,1,0,0,0
B00450,32,17,4920,1,1,1,0,0,0
B00451,42,13,3490,1,1,1,0,0,0
B00452,77,29,3527,2,0,1,0,0,0
B00453,75,9,2227,2,1,1,0,0,0
B00454,94,18,4234,3,1,1,0,0,0
B00455,46,4,1578,1,1,1,0,0,0
B00456,47,28,1647,1,1,1,0,0,0
B00457,61,23,3750,7,1,1,0,0,1
B00458,30,3,4426,4,1,1,0,0,0
B00459,72,27,4644,3,1,1,0,0,0
B00460,41,16,4817,4,1,3,0,0,1
B00461,61,8,3342,3,1,1,0,0,0
B00462,46,1,2588,3,1,1,0,0,0
B00463,38,25,2076,3,1,1,0,0,0
B00464,69,8,4081,4,1,1,0,0,0
B00465,77,20,3459,2,1,1,0,0,0
B00466,63,23,2228,3,1,1,0,0,0
B00467,41,2,1849,4,1,1,0,0,0
B00468,76,26,4065,1,1,1,0,0,0
B00469,97,6,2799,1,1,1,0,0,0
B00470,50,11,1632,1,1,1,0,0,0
B00471,43,19,4921,3,1,1,0,0,0
B00472,51,17,3738,1,1,1,0,0,0
B00473,49,21,3222,3,1,1,0,0,0
B00474,91,4,1522,1,1,1,0,0,0
B00475,58,5,2746,4,0,1,0,0,0
B00476,88,16,2378,3,1,1,0,0,0
B00477,46,5,2036,2,1,1,0,0,0
B00478,48,22,4237,3,1,1,0,0,0
B00479,72,9,2772,2,1,1,0,0,0
B00480,65,28,1939,1,1,1,0,0,0
B00481,90,25,3274,1,1,1,0,0,0
B00482,74,14,3100,2,1,1,0,0,0
B00483,76,10,3915,2,0,1,0,0,0
B00484,51,24,4253,4,1,1,0,0,0
B00485,25,23,4904,4,1,1,0,0,0
B00486,71,21,4866,2,0,1,0,0,0
B00487,44,21,4205,3,1,1,0,0,0
B00488,51,11,2551,4,1,1,0,0,0
B00489,98,11,1456,4,1,1,0,0,0
B00490,52,4,4285,3,1,1,0,0,0
B00491,81,15,3459,1,0,1,0,0,0
B00492,67,5,1392,3,1,1,0,0,0
B00493,68,26,2552,3,1,3,0,0,1
B00494,72,13,4410,3,1,1,0,0,0
B00495,50,17,1490,1,1,1,0,0,0
B00496,74,14,1158,1,0,1,0,0,1
B00497,68,22,3506,4,1,1,0,0,0
B00498,73,6,3500,2,1,1,0,0,0
B00499,73,3,2932,3,1,1,0,0,0
B00500,50,17,1619,1,1,1,0,0,0
B00501,91,16,2605,1,1,1,0,0,0
B00502,71,25,2162,1,1,1,0,0,0
B00503,57,4,3201,2,1,1,0,0,0
B00504,56,21,1618,3,1,1,0,0,0
B00505,49,4,1007,2,1,1,0,0,0
B00506,79,22,4671,2,1,1,0,0,0
B00507,63,28,2636,4,1,1,0,0,0
B00508,47,8,3369,3,1,1,0,0,0
B00509,42,13,4947,1,1,1,0,0,0
B00510,41,25,2522,1,1,1,0,0,0
B00511,42,7,4682,1,1,1,0,0,0
B00512,79,21,1860,4,1,1,0,0,0
B00513,52,23,2427,4,1,1,0,0,0
B00514,20,2,2424,2,1,1,0,0,0
B00515,70,21,3871,3,1,1,0,0,0
B00516,46,7,4374,3,1,1,0,0,0
B00517,69,18,1083,3,1,1,0,0,0
B00518,58,14,1111,7,1,1,0,0,1
B00519,84,15,2920,3,1,1,0,0,0
B00520,41,24,3012,4,1,1,0,0,0
B00521,99,5,1278,1,1,1,0,0,0
B00522,65,10,2380,1,1,1,0,0,0
B00523,39,19,2538,4,0,1,0,0,0
B00524,58,15,2534,4,1,1,0,0,0
B00525,64,226,3584,4,1,1,0,0,1
B00526,66,22,4599,4,1,1,0,0,0
B00527,69,27,4273,4,1,1,0,0,0
B00528,49,17,3773,1,1,1,0,0,0
B00529,64,1,4173,1,1,1,0,0,0
B00530,81,7,1103,3,1,1,0,0,0
B00531,66,25,1508,2,1,1,0,0,0
B00532,52,20,1581,2,1,1,0,0,0
B00533,71,13,2903,3,1,1,0,0,0
B00534,54,4,4171,8,1,1,0,0,1
B00535,20,29,2293,2,0,1,0,0,0
B00536,65,17,3936,1,1,1,0,0,0
B00537,55,13,1389,4,1,1,0,0,0
B00538,95,10,1890,3,1,1,0,0,0
B00539,61,293,4447,2,1,1,0,0,1
B00540,86,20,4250,4,1,1,1,0,1
B00541,44,17,4354,4,1,1,0,0,0
B00542,93,27,3165,4,1,1,1,0,1
B00543,41,4,3606,3,1,1,0,0,0
B00544,73,22,3262,3,1,1,0,0,0
B00545,49,8,1360,1,0,1,0,0,0
B00546,45,28,4641,1,1,1,0,0,0
B00547,68,17,2968,3,1,1,0,0,0
B00548,42,28,1207,2,1,1,0,0,0
B00549,46,15,1218,1,1,1,0,0,0
B00550,31,3,1402,4,1,1,0,0,0
B00551,22,27,2157,3,1,1,0,0,0
B00552,68,27,2466,4,1,1,0,0,0
B00553,89,27,1820,3,1,1,0,0,0
B00554,43,25,1609,2,0,1,0,0,0
B00555,46,4,1816,1,1,1,0,0,0
B00556,73,6,1617,4,1,5,0,0,1
B00557,62,21,2779,3,1,1,0,0,0
B00558,48,19,4994,2,1,1,0,0,0
B00559,69,8,3259,1,1,1,0,0,0
B00560,39,1,2070,4,1,1,0,0,0
B00561,47,18,3250,1,1,1,0,0,0
B00562,77,23,2629,4,1,1,0,0,0
B00563,72,3,3551,2,1,1,0,0,0
B00564,73,14,2799,3,1,1,0,0,0
B00565,66,28,2392,4,1,1,0,0,0
B00566,21,11,1444,2,1,1,0,0,0
B00567,77,5,4323,3,1,1,0,0,0
B00568,70,13,4769,1,1,1,0,0,0
B00569,23,1,4035,3,1,1,0,0,0
B00570,60,21,2637,2,1,3,0,0,1
B00571,62,20,3668,3,1,1,0,0,0
B00572,31,24,4515,3,1,1,0,0,0
B00573,79,13,4927,1,1,1,0,0,0
B00574,83,17,1621,2,1,1,0,0,0
B00575,88,13,2029,3,1,1,0,0,0
B00576,89,12,1086,1,1,1,0,0,0
B00577,68,5,2308,3,1,1,0,0,0
B00578,55,17,2942,1,1,1,0,0,0
B00579,71,22,4089,2,1,1,0,0,0
B00580,69,26,1498,7,1,1,0,0,1
B00581,70,23,3253,3,1,1,0,0,0
B00582,47,9,3410,1,1,1,0,0,0
B00583,69,10,2959,3,1,1,0,0,0
B00584,60,16,3977,1,1,1,0,0,0
B00585,66,26,3687,4,1,3,0,0,1
B00586,76,1,2126,1,0,1,0,0,0
B00587,22,21,4278,1,1,1,0,0,0
B00588,88,1,3679,4,1,1,0,0,0
B00589,51,9,3994,2,1,1,0,0,0
B00590,68,3,1428,3,0,1,0,0,0
B00591,77,16,3482,8,1,1,0,0,1
B00592,63,20,4406,4,1,3,0,0,1
B00593,74,29,1531,4,1,1,0,0,0
B00594,53,27,2855,4,1,1,0,0,0
B00595,50,11,4193,3,1,1,0,0,0
B00596,78,28,3952,3,0,1,1,0,1
B00597,64,7,4439,1,1,1,0,0,0
B00598,38,29,4775,4,1,1,0,0,0
B00599,45,17,3972,2,1,1,0,0,0
B00600,63,21,1489,1,1,1,0,0,0
B00601,72,16,3314,2,1,1,0,0,0
B00602,41,12,2629,2,1,1,0,0,0
